name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Colombo,2022-02-26,89.7,73.5,79.8,105.4,73.5,83.5,73.2,81.2,0.118,100,4.17,rain,0,0,21.3,11.9,17.6,1011.3,14.7,6.9,270.6,23.4,9,60.0,2022-02-26T06:24:30,2022-02-26T18:22:48,0.84,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-27,95.1,73.5,82.7,107.8,73.5,85.8,70.9,71.0,0.231,100,4.17,rain,0,0,20.8,12.8,46.6,1011.2,10.4,7.1,283.4,24.5,10,30.0,2022-02-27T06:24:09,2022-02-27T18:22:48,0.88,Rain,Clear conditions throughout the day with morning rain.,rain,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-02-28,93.3,71.7,82.9,102.8,71.7,86.6,70.6,69.0,0.0,0,0.0,,0,0,21.7,11.4,37.1,1010.8,9.9,7.2,287.3,24.9,9,30.0,2022-02-28T06:23:47,2022-02-28T18:22:48,0.91,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-03-01,95.1,73.5,84.2,107.7,73.5,87.7,70.3,65.4,0.0,0,0.0,,0,0,27.7,16.1,41.8,1010.2,7.6,7.1,281.4,24.2,10,30.0,2022-03-01T06:23:25,2022-03-01T18:22:48,0.95,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-03-02,89.7,73.5,81.9,98.2,73.5,85.9,72.6,74.8,0.0,0,0.0,,0,0,31.1,12.8,42.9,1009.6,15.6,6.6,206.4,17.9,8,30.0,2022-03-02T06:23:02,2022-03-02T18:22:47,0.0,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-03-03,91.7,77.1,84.2,98.4,77.1,88.1,72.1,68.7,0.0,0,0.0,,0,0,28.0,11.4,32.1,1008.5,16.4,7.0,187.5,16.0,7,30.0,2022-03-03T06:22:38,2022-03-03T18:22:46,0.02,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-03-04,89.7,75.3,82.8,100.5,75.3,88.9,74.8,77.3,0.0,0,0.0,,0,0,28.6,10.3,7.4,1009.5,18.9,6.8,230.7,20.0,9,60.0,2022-03-04T06:22:14,2022-03-04T18:22:44,0.05,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-03-05,89.5,73.5,81.7,98.0,73.5,87.0,74.8,80.9,0.0,0,0.0,,0,0,25.7,16.1,2.2,1009.3,10.8,7.4,272.3,23.5,10,60.0,2022-03-05T06:21:49,2022-03-05T18:22:42,0.08,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-03-06,87.9,73.5,81.4,100.2,73.5,86.3,74.6,81.2,0.0,0,0.0,,0,0,23.7,11.4,13.2,1009.1,12.9,6.7,280.9,24.3,10,30.0,2022-03-06T06:21:24,2022-03-06T18:22:39,0.11,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
Colombo,2022-03-07,87.9,75.3,82.0,100.2,75.3,89.0,76.8,85.1,0.0,0,0.0,,0,0,18.1,6.9,346.6,1009.2,17.0,6.9,285.5,24.7,9,30.0,2022-03-07T06:20:59,2022-03-07T18:22:36,0.15,Clear,Clear conditions throughout the day.,clear-day,"43450099999,43467099999,CEI0000VCCC,CEI0000VCBI,43466099999,CEM00043466"
